item_id,order_id,item_name,quantity,order_date,order_time,unit_price,Total_price,item_size,item_category,item_ingredients
3702,73668,Egg McMuffin,3,2023-06-17,06:05:00,4.7,14.1,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3703,5903,Quarter Pounder,3,2023-09-21,22:09:00,5.2,15.6,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3704,31409,Sprite,4,2023-09-13,15:38:00,6.66,26.64,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3705,97106,French Fries,2,2023-03-30,14:54:00,6.38,12.76,Small,Burger,"Potatoes, Salt"
3706,6328,French Fries,1,2023-11-24,11:38:00,5.17,5.17,Small,Burger,"Potatoes, Salt"
3707,41974,McChicken,4,2023-06-02,09:49:00,5.14,20.56,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3708,52755,Sprite,1,2023-03-05,17:09:00,5.07,5.07,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3709,63683,French Fries,1,2023-06-26,08:29:00,5.97,5.97,Medium,Burger,"Potatoes, Salt"
3710,83608,Egg McMuffin,1,2023-08-25,07:45:00,5.7,5.7,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3711,61263,Egg McMuffin,5,2023-04-13,06:48:00,6.9,34.5,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3712,80117,Iced Coffee,1,2023-08-04,10:05:00,5.33,5.33,Large,Burger,"Coffee, Ice, Sugar, Cream"
3713,34953,Apple Pie,4,2023-09-20,17:17:00,5.15,20.6,Small,Burger,"Apple, Sugar, Pastry"
3714,64132,French Fries,2,2023-12-29,14:27:00,4.29,8.58,Small,Burger,"Potatoes, Salt"
3715,38567,French Fries,2,2023-01-24,09:41:00,5.67,11.34,Large,Burger,"Potatoes, Salt"
3716,50262,Sprite,2,2023-05-05,15:32:00,4.15,8.3,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3717,67421,Egg McMuffin,2,2023-02-16,12:00:00,4.04,8.08,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3718,58126,Filet-O-Fish,5,2023-07-07,12:13:00,6.7,33.5,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
3719,80186,Quarter Pounder,5,2023-10-03,10:16:00,5.84,29.2,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3720,55231,Sprite,3,2023-04-18,10:52:00,6.54,19.62,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3721,80731,French Fries,4,2023-12-22,13:59:00,5.78,23.12,Small,Burger,"Potatoes, Salt"
3722,73202,Sprite,3,2023-11-07,10:30:00,6.96,20.88,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3723,41718,Quarter Pounder,2,2023-08-11,20:22:00,6.67,13.34,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3724,37831,French Fries,3,2023-06-02,07:47:00,5.85,17.55,Small,Burger,"Potatoes, Salt"
3725,86780,Cheeseburger,5,2023-07-29,08:33:00,4.0,20.0,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3726,43367,McFlurry,4,2023-04-02,16:10:00,4.69,18.76,Medium,Burger,"Ice Cream, Candy"
3727,24869,Iced Coffee,5,2023-05-01,09:08:00,5.15,25.75,Large,Burger,"Coffee, Ice, Sugar, Cream"
3728,9622,Quarter Pounder,2,2023-04-21,06:47:00,6.39,12.78,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3729,52911,Sprite,5,2023-01-25,18:13:00,6.35,31.75,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3730,57483,Sprite,5,2023-07-19,12:23:00,6.73,33.65,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3731,14976,French Fries,2,2023-01-29,16:22:00,5.35,10.7,Large,Burger,"Potatoes, Salt"
3732,17929,Cheeseburger,1,2023-02-01,06:13:00,6.38,6.38,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3733,90513,Chicken Nuggets,4,2023-05-03,15:20:00,6.31,25.24,Small,Chicken,"Chicken, Breadcrumbs, Spices"
3734,78998,Sundae,3,2023-04-27,13:32:00,4.15,12.45,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3735,92205,Smoothie,2,2023-06-17,18:46:00,4.6,9.2,Large,Burger,"Fruit Puree, Yogurt, Ice"
3736,84427,McFlurry,3,2023-02-21,19:46:00,4.91,14.73,Small,Burger,"Ice Cream, Candy"
3737,94283,Sprite,1,2023-03-30,11:52:00,4.71,4.71,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3738,91171,Sprite,4,2023-08-14,19:14:00,6.35,25.4,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3739,87409,French Fries,4,2023-02-24,22:30:00,6.52,26.08,Large,Burger,"Potatoes, Salt"
3740,6235,Apple Pie,4,2023-12-25,21:25:00,4.39,17.56,Medium,Burger,"Apple, Sugar, Pastry"
3741,27640,French Fries,1,2023-07-05,16:35:00,5.05,5.05,Medium,Burger,"Potatoes, Salt"
3742,98582,McFlurry,3,2023-02-23,14:38:00,5.75,17.25,Small,Burger,"Ice Cream, Candy"
3743,73410,French Fries,3,2023-07-14,09:57:00,5.59,16.77,Small,Burger,"Potatoes, Salt"
3744,2085,McChicken,4,2023-04-04,13:40:00,5.46,21.84,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3745,23450,Sundae,2,2023-05-21,16:58:00,5.52,11.04,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3746,23126,Smoothie,3,2023-12-18,17:39:00,5.95,17.85,Large,Burger,"Fruit Puree, Yogurt, Ice"
3747,72913,Quarter Pounder,4,2023-05-30,20:38:00,5.81,23.24,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3748,70305,Apple Pie,5,2023-09-09,09:04:00,5.58,27.9,Small,Burger,"Apple, Sugar, Pastry"
3749,10731,McFlurry,2,2023-02-25,08:28:00,5.19,10.38,Small,Burger,"Ice Cream, Candy"
3750,9079,Apple Pie,3,2023-05-08,15:00:00,4.18,12.54,Small,Burger,"Apple, Sugar, Pastry"
3751,88581,Sundae,4,2023-09-21,20:45:00,5.1,20.4,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3752,43922,Filet-O-Fish,2,2023-12-06,09:39:00,7.72,15.44,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
3753,44135,Coca Cola,3,2023-10-24,21:43:00,6.07,18.21,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3754,95517,McChicken,4,2023-10-11,13:13:00,6.4,25.6,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3755,21034,McFlurry,5,2023-11-06,10:11:00,4.69,23.45,Large,Burger,"Ice Cream, Candy"
3756,74140,Filet-O-Fish,2,2023-03-23,20:28:00,7.86,15.72,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
3757,93012,McFlurry,5,2023-10-21,11:56:00,5.53,27.65,Small,Burger,"Ice Cream, Candy"
3758,38625,McChicken,5,2023-11-30,11:38:00,5.19,25.95,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3759,67669,Smoothie,5,2023-09-01,11:07:00,6.11,30.55,Small,Burger,"Fruit Puree, Yogurt, Ice"
3760,70384,Coca Cola,5,2023-12-03,20:50:00,4.5,22.5,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
3761,79348,Smoothie,4,2023-03-27,22:44:00,4.3,17.2,Large,Burger,"Fruit Puree, Yogurt, Ice"
3762,86170,Smoothie,3,2023-09-23,14:15:00,6.51,19.53,Large,Burger,"Fruit Puree, Yogurt, Ice"
3763,3090,French Fries,1,2023-05-21,17:02:00,5.51,5.51,Medium,Burger,"Potatoes, Salt"
3764,83537,Chicken Nuggets,5,2023-12-28,08:40:00,5.6,28.0,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
3765,18176,Sundae,2,2023-05-29,17:33:00,5.29,10.58,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3766,69088,Iced Coffee,4,2023-08-29,12:59:00,5.61,22.44,Small,Burger,"Coffee, Ice, Sugar, Cream"
3767,30070,Sprite,4,2023-01-17,15:31:00,6.22,24.88,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3768,5692,McFlurry,1,2023-11-02,18:14:00,6.85,6.85,Medium,Burger,"Ice Cream, Candy"
3769,13614,Big Mac,3,2023-11-15,13:37:00,4.75,14.25,Large,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3770,8262,Big Mac,1,2023-09-20,19:14:00,6.93,6.93,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3771,14045,Coca Cola,2,2023-07-28,08:01:00,4.45,8.9,Small,Burger,"Carbonated Water, Sugar, Flavorings"
3772,87032,Iced Coffee,1,2023-06-26,07:37:00,4.96,4.96,Small,Burger,"Coffee, Ice, Sugar, Cream"
3773,25549,Iced Coffee,3,2023-06-30,15:32:00,5.52,16.56,Medium,Burger,"Coffee, Ice, Sugar, Cream"
3774,79778,Sprite,5,2023-08-10,06:50:00,5.57,27.85,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3775,54587,Sundae,4,2023-05-13,21:54:00,6.23,24.92,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3776,23370,McFlurry,5,2023-03-08,20:25:00,6.48,32.4,Medium,Burger,"Ice Cream, Candy"
3777,12907,French Fries,3,2023-06-27,11:24:00,6.46,19.38,Medium,Burger,"Potatoes, Salt"
3778,10761,McChicken,2,2023-10-13,08:38:00,5.95,11.9,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3779,24417,Apple Pie,5,2023-06-04,14:35:00,4.77,23.85,Small,Burger,"Apple, Sugar, Pastry"
3780,32749,McFlurry,5,2023-11-03,22:42:00,5.84,29.2,Medium,Burger,"Ice Cream, Candy"
3781,39806,Apple Pie,1,2023-01-21,20:38:00,4.45,4.45,Small,Burger,"Apple, Sugar, Pastry"
3782,82195,Sprite,2,2023-10-07,19:38:00,6.13,12.26,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3783,59412,McFlurry,1,2023-12-23,17:02:00,4.2,4.2,Large,Burger,"Ice Cream, Candy"
3784,79984,McFlurry,4,2023-03-20,18:43:00,6.98,27.92,Medium,Burger,"Ice Cream, Candy"
3785,45132,Sundae,5,2023-01-21,22:24:00,4.62,23.1,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3786,16891,Cheeseburger,3,2023-02-07,07:22:00,4.27,12.81,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3787,57072,McChicken,5,2023-10-03,16:27:00,6.35,31.75,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3788,48919,McFlurry,2,2023-12-27,11:41:00,5.97,11.94,Large,Burger,"Ice Cream, Candy"
3789,97441,Smoothie,2,2023-11-20,08:14:00,5.67,11.34,Medium,Burger,"Fruit Puree, Yogurt, Ice"
3790,41170,McChicken,5,2023-09-27,09:23:00,5.4,27.0,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3791,28133,Cheeseburger,2,2023-12-09,06:06:00,6.83,13.66,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3792,91741,French Fries,3,2023-04-29,23:59:00,4.78,14.34,Small,Burger,"Potatoes, Salt"
3793,87758,Chicken Nuggets,3,2023-07-08,14:27:00,6.49,19.47,Small,Chicken,"Chicken, Breadcrumbs, Spices"
3794,7948,Apple Pie,2,2023-07-07,16:23:00,4.43,8.86,Large,Burger,"Apple, Sugar, Pastry"
3795,74466,McChicken,3,2023-12-18,10:06:00,5.09,15.27,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3796,45869,Sundae,4,2023-08-19,18:07:00,5.17,20.68,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3797,20236,Chicken Nuggets,1,2023-10-15,06:00:00,5.61,5.61,Small,Chicken,"Chicken, Breadcrumbs, Spices"
3798,31498,Coca Cola,5,2023-11-15,17:12:00,4.57,22.85,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3799,41063,McChicken,4,2023-04-24,15:49:00,5.54,22.16,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3800,42948,French Fries,5,2023-08-27,17:46:00,5.7,28.5,Medium,Burger,"Potatoes, Salt"
3801,64982,Iced Coffee,3,2023-05-12,12:05:00,6.13,18.39,Small,Burger,"Coffee, Ice, Sugar, Cream"
3802,25781,Smoothie,3,2023-09-29,10:22:00,5.9,17.7,Large,Burger,"Fruit Puree, Yogurt, Ice"
3803,18944,Apple Pie,4,2023-03-04,22:14:00,4.3,17.2,Medium,Burger,"Apple, Sugar, Pastry"
3804,56450,Smoothie,5,2023-06-18,17:52:00,5.63,28.15,Medium,Burger,"Fruit Puree, Yogurt, Ice"
3805,43205,Filet-O-Fish,2,2023-04-21,11:10:00,6.83,13.66,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
3806,21383,Filet-O-Fish,3,2023-10-17,07:44:00,7.39,22.17,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
3807,68729,Cheeseburger,5,2023-05-19,14:24:00,5.02,25.1,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3808,22969,Egg McMuffin,2,2023-03-29,23:41:00,6.58,13.16,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3809,23127,French Fries,5,2023-03-09,15:57:00,5.07,25.35,Medium,Burger,"Potatoes, Salt"
3810,34452,French Fries,4,2023-07-14,06:47:00,4.74,18.96,Small,Burger,"Potatoes, Salt"
3811,70616,Cheeseburger,1,2023-09-14,11:00:00,6.2,6.2,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3812,78603,Chicken Nuggets,1,2023-02-02,22:11:00,6.09,6.09,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
3813,27163,Iced Coffee,4,2023-08-23,14:28:00,5.86,23.44,Large,Burger,"Coffee, Ice, Sugar, Cream"
3814,49078,Filet-O-Fish,4,2023-04-20,08:03:00,5.99,23.96,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
3815,48874,Filet-O-Fish,3,2023-08-03,20:52:00,6.24,18.72,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
3816,94700,Chicken Nuggets,4,2023-06-06,15:53:00,6.31,25.24,Large,Chicken,"Chicken, Breadcrumbs, Spices"
3817,57975,Egg McMuffin,1,2023-01-10,20:45:00,6.71,6.71,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3818,4421,Egg McMuffin,4,2023-01-25,09:19:00,5.79,23.16,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3819,3095,McChicken,4,2023-01-14,09:38:00,5.43,21.72,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3820,36888,McChicken,3,2023-09-04,12:33:00,5.72,17.16,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3821,85620,Apple Pie,5,2023-10-11,20:02:00,6.69,33.45,Large,Burger,"Apple, Sugar, Pastry"
3822,27553,McChicken,2,2023-10-17,15:26:00,5.32,10.64,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3823,4901,Apple Pie,3,2023-05-30,11:11:00,5.62,16.86,Large,Burger,"Apple, Sugar, Pastry"
3824,54179,Apple Pie,4,2023-05-13,14:51:00,6.09,24.36,Large,Burger,"Apple, Sugar, Pastry"
3825,76254,Sprite,3,2023-04-14,16:09:00,5.95,17.85,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3826,43187,Quarter Pounder,1,2023-04-02,12:04:00,5.78,5.78,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3827,26332,Apple Pie,2,2023-01-27,14:07:00,6.68,13.36,Medium,Burger,"Apple, Sugar, Pastry"
3828,28741,Quarter Pounder,3,2023-01-01,12:39:00,6.62,19.86,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3829,7391,Sprite,2,2023-08-09,17:04:00,4.08,8.16,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3830,76255,Iced Coffee,2,2023-01-11,19:08:00,4.87,9.74,Small,Burger,"Coffee, Ice, Sugar, Cream"
3831,16302,Big Mac,5,2023-12-20,09:21:00,6.57,32.85,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3832,48021,Big Mac,5,2023-09-04,06:31:00,6.15,30.75,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3833,97111,Smoothie,4,2023-01-05,17:04:00,5.6,22.4,Large,Burger,"Fruit Puree, Yogurt, Ice"
3834,72485,Coca Cola,1,2023-02-14,08:46:00,6.32,6.32,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
3835,82441,McFlurry,3,2023-10-05,07:18:00,4.7,14.1,Large,Burger,"Ice Cream, Candy"
3836,88880,McChicken,3,2023-11-21,16:03:00,5.34,16.02,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3837,13219,Filet-O-Fish,2,2023-09-15,23:23:00,7.51,15.02,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
3838,87467,Sprite,4,2023-12-06,11:29:00,4.26,17.04,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3839,7409,Sprite,5,2023-12-19,19:16:00,6.17,30.85,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3840,64705,French Fries,4,2023-06-02,12:08:00,5.5,22.0,Medium,Burger,"Potatoes, Salt"
3841,94599,Sprite,1,2023-07-22,14:02:00,4.89,4.89,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3842,33511,Sundae,4,2023-04-04,23:25:00,6.13,24.52,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3843,53337,Cheeseburger,5,2023-11-01,21:58:00,4.18,20.9,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3844,43471,Chicken Nuggets,3,2023-04-08,07:27:00,5.1,15.3,Small,Chicken,"Chicken, Breadcrumbs, Spices"
3845,97588,Iced Coffee,5,2023-10-25,16:12:00,6.37,31.85,Medium,Burger,"Coffee, Ice, Sugar, Cream"
3846,34324,Coca Cola,3,2023-01-19,16:13:00,4.54,13.62,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3847,12423,Smoothie,2,2023-10-02,07:13:00,6.06,12.12,Medium,Burger,"Fruit Puree, Yogurt, Ice"
3848,81201,French Fries,5,2023-01-11,09:18:00,6.41,32.05,Small,Burger,"Potatoes, Salt"
3849,92088,Coca Cola,5,2023-11-27,07:30:00,5.26,26.3,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
3850,53704,Filet-O-Fish,4,2023-07-23,17:04:00,6.91,27.64,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
3851,5900,Quarter Pounder,4,2023-09-12,13:43:00,6.83,27.32,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3852,62390,Big Mac,4,2023-12-21,19:21:00,6.14,24.56,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3853,3699,Iced Coffee,4,2023-04-21,19:49:00,6.85,27.4,Small,Burger,"Coffee, Ice, Sugar, Cream"
3854,10204,Sundae,2,2023-06-17,10:00:00,6.98,13.96,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3855,65206,Coca Cola,4,2023-11-27,16:58:00,6.14,24.56,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3856,75416,French Fries,5,2023-08-20,13:38:00,4.66,23.3,Large,Burger,"Potatoes, Salt"
3857,31767,Apple Pie,5,2023-09-28,16:11:00,5.5,27.5,Large,Burger,"Apple, Sugar, Pastry"
3858,20598,Egg McMuffin,5,2023-03-23,14:30:00,4.46,22.3,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3859,76801,Chicken Nuggets,2,2023-10-17,10:42:00,5.69,11.38,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
3860,95531,Iced Coffee,4,2023-12-15,06:19:00,4.74,18.96,Large,Burger,"Coffee, Ice, Sugar, Cream"
3861,91818,Apple Pie,4,2023-01-03,17:11:00,5.56,22.24,Small,Burger,"Apple, Sugar, Pastry"
3862,84191,Cheeseburger,4,2023-12-10,09:53:00,4.77,19.08,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3863,20498,Iced Coffee,3,2023-09-13,16:16:00,4.97,14.91,Large,Burger,"Coffee, Ice, Sugar, Cream"
3864,46056,Smoothie,5,2023-03-20,08:44:00,4.07,20.35,Small,Burger,"Fruit Puree, Yogurt, Ice"
3865,93254,McFlurry,4,2023-06-28,18:05:00,6.69,26.76,Large,Burger,"Ice Cream, Candy"
3866,37684,Apple Pie,2,2023-01-08,19:05:00,5.77,11.54,Medium,Burger,"Apple, Sugar, Pastry"
3867,62725,Quarter Pounder,2,2023-05-21,11:34:00,4.97,9.94,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3868,45339,Big Mac,3,2023-01-26,18:55:00,6.32,18.96,Large,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3869,21214,Coca Cola,4,2023-01-15,16:13:00,6.97,27.88,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3870,17241,Smoothie,5,2023-10-17,21:18:00,4.55,22.75,Medium,Burger,"Fruit Puree, Yogurt, Ice"
3871,4172,Sundae,4,2023-09-07,15:32:00,4.12,16.48,Small,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3872,3874,Coca Cola,4,2023-02-13,09:07:00,6.69,26.76,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
3873,68677,Big Mac,3,2023-03-25,23:25:00,4.36,13.08,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3874,70203,Egg McMuffin,5,2023-06-07,06:21:00,5.22,26.1,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3875,46686,McFlurry,5,2023-02-04,09:02:00,5.14,25.7,Medium,Burger,"Ice Cream, Candy"
3876,91957,Filet-O-Fish,2,2023-09-25,10:35:00,7.48,14.96,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
3877,77131,Coca Cola,1,2023-04-02,19:34:00,5.82,5.82,Small,Burger,"Carbonated Water, Sugar, Flavorings"
3878,60456,McFlurry,5,2023-04-06,21:23:00,6.14,30.7,Small,Burger,"Ice Cream, Candy"
3879,74474,Cheeseburger,2,2023-12-12,17:10:00,5.09,10.18,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3880,92586,Sprite,2,2023-01-27,21:03:00,6.05,12.1,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3881,69897,McChicken,1,2023-11-15,18:05:00,6.13,6.13,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3882,29765,McChicken,4,2023-05-21,16:04:00,5.11,20.44,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3883,22943,McFlurry,2,2023-06-27,07:30:00,4.05,8.1,Small,Burger,"Ice Cream, Candy"
3884,68436,Sprite,2,2023-09-08,12:00:00,4.66,9.32,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3885,3491,Sundae,3,2023-03-24,14:57:00,4.13,12.39,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3886,23058,Smoothie,1,2023-11-29,18:22:00,4.84,4.84,Small,Burger,"Fruit Puree, Yogurt, Ice"
3887,31951,McFlurry,2,2023-09-16,06:07:00,6.47,12.94,Medium,Burger,"Ice Cream, Candy"
3888,65651,Cheeseburger,5,2023-04-21,06:52:00,4.37,21.85,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3889,46619,French Fries,1,2023-11-10,09:30:00,5.87,5.87,Medium,Burger,"Potatoes, Salt"
3890,7839,McFlurry,1,2023-07-02,23:20:00,6.96,6.96,Large,Burger,"Ice Cream, Candy"
3891,98738,Sundae,5,2023-06-10,21:23:00,6.08,30.4,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3892,65283,French Fries,2,2023-05-11,22:46:00,5.23,10.46,Large,Burger,"Potatoes, Salt"
3893,13076,Coca Cola,2,2023-09-16,11:08:00,5.74,11.48,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
3894,13355,Smoothie,1,2023-06-21,08:11:00,5.19,5.19,Medium,Burger,"Fruit Puree, Yogurt, Ice"
3895,30450,Sundae,2,2023-07-07,20:42:00,5.42,10.84,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
3896,68550,Cheeseburger,3,2023-11-28,14:41:00,4.05,12.15,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
3897,42287,Iced Coffee,3,2023-03-03,11:11:00,5.94,17.82,Large,Burger,"Coffee, Ice, Sugar, Cream"
3898,72602,French Fries,5,2023-09-03,07:20:00,4.67,23.35,Medium,Burger,"Potatoes, Salt"
3899,38058,Apple Pie,2,2023-06-28,17:22:00,5.97,11.94,Medium,Burger,"Apple, Sugar, Pastry"
3900,88139,Quarter Pounder,2,2023-10-07,14:52:00,6.47,12.94,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3901,63562,McChicken,2,2023-05-30,16:56:00,5.98,11.96,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
3902,3717,Apple Pie,3,2023-12-28,20:51:00,4.96,14.88,Medium,Burger,"Apple, Sugar, Pastry"
3903,92293,Sprite,1,2023-01-19,20:33:00,6.46,6.46,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3904,56256,French Fries,3,2023-08-03,16:09:00,5.59,16.77,Large,Burger,"Potatoes, Salt"
3905,7199,Chicken Nuggets,5,2023-03-10,16:35:00,6.14,30.7,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
3906,46955,Filet-O-Fish,4,2023-09-17,21:37:00,5.94,23.76,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
3907,67178,Quarter Pounder,2,2023-05-12,08:55:00,6.97,13.94,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3908,65652,Smoothie,2,2023-05-24,10:48:00,6.83,13.66,Small,Burger,"Fruit Puree, Yogurt, Ice"
3909,30473,Filet-O-Fish,4,2023-09-27,16:03:00,6.37,25.48,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
3910,87229,Egg McMuffin,4,2023-05-22,21:31:00,4.04,16.16,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3911,3199,Egg McMuffin,5,2023-12-31,22:15:00,5.12,25.6,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
3912,94126,Quarter Pounder,4,2023-09-09,16:19:00,4.71,18.84,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
3913,90820,Sprite,2,2023-11-10,08:41:00,4.06,8.12,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
3914,16672,Coca Cola,4,2023-10-14,11:28:00,4.52,18.08,Large,Burger,"Carbonated Water, Sugar, Flavorings"
3915,22165,Big Mac,2,2023-02-04,19:51:00,4.13,8.26,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
3916,35727,Smoothie,4,2023-07-13,23:28:00,4.04,16.16,Medium,Burger,"Fruit Puree, Yogurt, Ice"
